_id,room,computer,cpu,monitor,keyboard,mouse,server
,202,202-01,202-01,202-01,202-01,202-01,n/a
,202,202-02,202-02,202-02,202-02,202-02,n/a
,202,202-03,202-03,202-03,202-03,202-03,n/a
,202,202-04,202-04,202-04,202-04,202-04,n/a
,202,202-05,202-05,202-05,202-05,202-05,n/a
,202,202-06,202-06,202-06,202-06,202-06,n/a
,202,202-07,202-07,202-07,202-07,202-07,n/a
,202,202-08,202-08,202-08,202-08,202-08,n/a
,202,202-09,202-09,202-09,202-09,202-09,n/a
,202,202-10,202-10,202-10,202-10,202-10,n/a
,202,202-11,202-11,202-11,202-11,202-11,n/a
,202,202-12,202-12,202-12,202-12,202-12,n/a
,202,202-13,202-13,202-13,202-13,202-13,n/a
,202,202-14,202-14,202-14,202-14,202-14,n/a
,202,202-15,202-15,202-15,202-15,202-15,n/a
,202,202-16,202-16,202-16,202-16,202-16,n/a
,202,202-17,202-17,202-17,202-17,202-17,n/a
,202,202-18,202-18,202-18,202-18,202-18,n/a
,202,202-19,202-19,202-19,202-19,202-19,n/a
,202,202-20,202-20,202-20,202-20,202-20,n/a
,202,202-21,202-21,202-21,202-21,202-21,n/a
,202,202-22,202-22,202-22,202-22,202-22,n/a
,202,202-23,202-23,202-23,202-23,202-23,n/a
,202,202-24,202-24,202-24,202-24,202-24,n/a
,202,202-25,202-25,202-25,202-25,202-25,n/a
,202,202-26,202-26,202-26,202-26,202-26,n/a
,202,202-27,202-27,202-27,202-27,202-27,n/a
,202,202-28,202-28,202-28,202-28,202-28,n/a
,202,202-29,202-29,202-29,202-29,202-29,n/a
,202,202-30,202-30,202-30,202-30,202-30,n/a
